"Category ID","Category","Schooling Years Range ID","Schooling Years Range","Sex ID","Sex","Monthly Wage","Workforce","Number of Records","Workforce Total","percentage"
2,"Profesionistas y Técnicos",1,"0 a 3 Años de Escolaridad",1,"Hombre",7165.597506234414,50125,188,54585,91.82925712191994
2,"Profesionistas y Técnicos",2,"4 a 6 Años de Escolaridad",1,"Hombre",7026.4121469718875,231745,783,250057,92.67686967371439
2,"Profesionistas y Técnicos",2,"4 a 6 Años de Escolaridad",2,"Mujer",4057.628494975972,18312,63,250057,7.3231303262856065
2,"Profesionistas y Técnicos",3,"7 a 9 Años de Escolaridad",1,"Hombre",7385.454840028147,711969,2480,832386,85.53351449928279
2,"Profesionistas y Técnicos",3,"7 a 9 Años de Escolaridad",2,"Mujer",5405.506224204224,120417,456,832386,14.466485500717216
2,"Profesionistas y Técnicos",4,"10 a 12 Años de Escolaridad",1,"Hombre",7404.954907703835,1262566,4274,1836071,68.76455213333253
2,"Profesionistas y Técnicos",4,"10 a 12 Años de Escolaridad",2,"Mujer",6041.538889809156,573505,1995,1836071,31.235447866667464
2,"Profesionistas y Técnicos",5,"13 a 15 Años de Escolaridad",1,"Hombre",6655.3596956719275,433611,1533,751186,57.723519873906056
2,"Profesionistas y Técnicos",5,"13 a 15 Años de Escolaridad",2,"Mujer",6142.185212941825,317575,1121,751186,42.27648012609394
2,"Profesionistas y Técnicos",6,"16 a 18 Años de Escolaridad",1,"Hombre",9197.787794921514,3048862,10941,6022718,50.62269227946585
2,"Profesionistas y Técnicos",6,"16 a 18 Años de Escolaridad",2,"Mujer",7351.020535291555,2973856,10418,6022718,49.377307720534155
2,"Profesionistas y Técnicos",7,"Más de 18 Años de Escolaridad",1,"Hombre",15451.062980756778,154444,576,310223,49.78483220135193
2,"Profesionistas y Técnicos",7,"Más de 18 Años de Escolaridad",2,"Mujer",11331.998857355613,155779,565,310223,50.21516779864806